of_id,vendor,sku,seat_type,contract_group_id,contracted_seats,unit_price,contract_start,contract_expiry,notice_deadline,auto_renewal,true_down_rights,measurement_method,contract_status,predecessor_of_id,contract_event_type,seat_delta,effective_total_seats
V2-OF-020,Cloudora,Cloud Infra Core,Full,CLD-CI-FULL-EXP1,145,60.57,01-07-2026,01-07-2027,01-06-2027,FALSE,FALSE,peak,active,V2-OF-019,renewal,0,220
V2-OF-021,Cloudora,Cloud Infra Core,Contributor,CLD-CI-CONT-EXP1,90,20.4,01-07-2021,01-01-2022,02-11-2021,TRUE,FALSE,peak,superseded,,new,90,495
V2-OF-022,Cloudora,Cloud Infra Core,Contributor,CLD-CI-CONT-EXP1,95,21.43,01-01-2022,01-01-2023,02-11-2022,FALSE,FALSE,peak,superseded,V2-OF-021,renewal,0,495
V2-OF-023,Cloudora,Cloud Infra Core,Contributor,CLD-CI-CONT-EXP1,105,22.04,01-01-2023,01-07-2023,01-06-2023,TRUE,TRUE,peak,superseded,V2-OF-022,renewal,0,495
V2-OF-024,Cloudora,Cloud Infra Core,Contributor,CLD-CI-CONT-EXP1,90,22.39,01-07-2023,01-10-2023,02-08-2023,TRUE,TRUE,peak,superseded,V2-OF-023,renewal,0,495
V2-OF-025,Cloudora,Cloud Infra Core,Contributor,CLD-CI-CONT-EXP1,95,22.39,01-10-2023,01-04-2024,02-03-2024,FALSE,FALSE,peak,superseded,V2-OF-024,renewal,0,495
V2-OF-026,Cloudora,Cloud Infra Core,Contributor,CLD-CI-CONT-EXP1,100,22.39,01-04-2024,01-04-2025,01-01-2025,TRUE,FALSE,peak,superseded,V2-OF-025,renewal,0,495
V2-OF-027,Cloudora,Cloud Infra Core,Contributor,CLD-CI-CONT-EXP1,105,22.39,01-04-2025,01-07-2025,02-05-2025,TRUE,TRUE,peak,superseded,V2-OF-026,renewal,0,495
V2-OF-028,Cloudora,Cloud Infra Core,Contributor,CLD-CI-CONT-EXP1,125,22.39,01-07-2025,01-01-2026,02-11-2025,TRUE,FALSE,peak,superseded,V2-OF-027,amendment,20,495
V2-OF-029,Cloudora,Cloud Infra Core,Contributor,CLD-CI-CONT-EXP1,130,22.39,01-01-2026,01-04-2026,31-01-2026,FALSE,FALSE,peak,superseded,V2-OF-028,renewal,0,495
V2-OF-030,Cloudora,Cloud Infra Core,Contributor,CLD-CI-CONT-EXP1,140,22.39,01-04-2026,01-07-2026,02-05-2026,FALSE,FALSE,peak,superseded,V2-OF-029,renewal,0,495
V2-OF-031,Cloudora,Cloud Infra Core,Contributor,CLD-CI-CONT-EXP1,170,22.39,01-07-2026,01-10-2026,02-08-2026,TRUE,FALSE,peak,superseded,V2-OF-030,upsell,30,495
V2-OF-032,Cloudora,Cloud Infra Core,Contributor,CLD-CI-CONT-EXP1,175,22.39,01-10-2026,01-04-2027,31-01-2027,TRUE,TRUE,peak,active,V2-OF-031,renewal,0,495
V2-OF-033,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-COLL-EXP1,200,4.32,01-07-2021,01-10-2021,02-08-2021,TRUE,FALSE,peak,superseded,,new,200,1220
V2-OF-034,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-COLL-EXP1,210,4.75,01-10-2021,01-04-2022,01-01-2022,FALSE,FALSE,peak,superseded,V2-OF-033,renewal,0,1220
V2-OF-035,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-COLL-EXP1,230,4.83,01-04-2022,01-10-2022,02-08-2022,FALSE,TRUE,peak,superseded,V2-OF-034,renewal,0,1220
V2-OF-036,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-COLL-EXP1,230,4.83,01-10-2022,01-04-2023,02-03-2023,FALSE,FALSE,peak,superseded,V2-OF-035,renewal,0,1220
V2-OF-037,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-COLL-EXP1,240,4.83,01-04-2023,01-07-2023,02-05-2023,TRUE,FALSE,peak,superseded,V2-OF-036,renewal,0,1220
V2-OF-038,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-COLL-EXP1,250,4.83,01-07-2023,01-07-2024,01-06-2024,TRUE,FALSE,peak,superseded,V2-OF-037,renewal,0,1220
V2-OF-039,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-COLL-EXP1,280,4.83,01-07-2024,01-01-2025,03-10-2024,TRUE,TRUE,peak,superseded,V2-OF-038,renewal,0,1220
V2-OF-040,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-COLL-EXP1,310,4.83,01-01-2025,01-04-2025,02-03-2025,FALSE,FALSE,peak,superseded,V2-OF-039,renewal,0,1220
V2-OF-041,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-COLL-EXP1,320,4.83,01-04-2025,01-10-2025,01-09-2025,FALSE,TRUE,peak,superseded,V2-OF-040,renewal,0,1220
V2-OF-042,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-COLL-EXP1,330,4.83,01-10-2025,01-01-2026,03-10-2025,FALSE,FALSE,peak,superseded,V2-OF-041,renewal,0,1220
V2-OF-043,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-COLL-EXP1,330,4.83,01-01-2026,01-01-2027,03-10-2026,FALSE,FALSE,peak,active,V2-OF-042,renewal,0,1220
V2-OF-044,Cloudora,Cloud Infra Core,Full,CLD-CI-FULL-PROJ1,30,55,01-01-2022,01-04-2022,31-01-2022,TRUE,FALSE,peak,superseded,,new,30,220
V2-OF-045,Cloudora,Cloud Infra Core,Full,CLD-CI-FULL-PROJ1,30,57.29,01-04-2022,01-07-2022,02-04-2022,FALSE,TRUE,peak,superseded,V2-OF-044,renewal,0,220
V2-OF-046,Cloudora,Cloud Infra Core,Full,CLD-CI-FULL-PROJ1,30,60.97,01-07-2022,01-10-2022,01-09-2022,TRUE,FALSE,peak,superseded,V2-OF-045,renewal,0,220
V2-OF-047,Cloudora,Cloud Infra Core,Full,CLD-CI-FULL-PROJ1,35,60.97,01-10-2022,01-01-2023,02-12-2022,TRUE,FALSE,peak,active,V2-OF-046,amendment,5,220
V2-OF-048,Cloudora,Cloud Infra Core,Contributor,CLD-CI-CONT-PROJ1,120,20.4,01-01-2022,01-04-2022,02-03-2022,FALSE,FALSE,peak,superseded,,new,120,495
V2-OF-049,Cloudora,Cloud Infra Core,Contributor,CLD-CI-CONT-PROJ1,130,22.07,01-04-2022,01-07-2022,01-06-2022,FALSE,FALSE,peak,superseded,V2-OF-048,renewal,0,495
V2-OF-050,Cloudora,Cloud Infra Core,Contributor,CLD-CI-CONT-PROJ1,165,22.07,01-07-2022,01-10-2022,02-08-2022,FALSE,FALSE,peak,superseded,V2-OF-049,amendment,35,495
V2-OF-051,Cloudora,Cloud Infra Core,Contributor,CLD-CI-CONT-PROJ1,165,22.07,01-10-2022,01-01-2023,02-12-2022,TRUE,FALSE,peak,active,V2-OF-050,renewal,0,495
V2-OF-052,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-COLL-PROJ1,250,4.32,01-01-2022,01-04-2022,01-01-2022,TRUE,FALSE,peak,superseded,,new,250,1220
V2-OF-053,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-COLL-PROJ1,280,4.49,01-04-2022,01-07-2022,02-05-2022,TRUE,TRUE,peak,superseded,V2-OF-052,renewal,0,1220
V2-OF-054,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-COLL-PROJ1,230,4.58,01-07-2022,01-10-2022,01-09-2022,FALSE,FALSE,peak,superseded,V2-OF-053,renewal,0,1220
V2-OF-055,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-COLL-PROJ1,280,4.74,01-10-2022,01-01-2023,03-10-2022,TRUE,FALSE,peak,active,V2-OF-054,upsell,50,1220
V2-OF-056,Cloudora,DevOps Toolkit,Full,CLD-DT-BASE,55,38,01-01-2020,01-01-2021,02-11-2020,TRUE,FALSE,average,superseded,,new,55,65
V2-OF-057,Cloudora,DevOps Toolkit,Full,CLD-DT-BASE,55,40.17,01-01-2021,01-01-2022,02-11-2021,TRUE,FALSE,average,superseded,V2-OF-056,renewal,0,65
V2-OF-058,Cloudora,DevOps Toolkit,Full,CLD-DT-BASE,55,41.69,01-01-2022,01-01-2023,02-12-2022,TRUE,FALSE,average,superseded,V2-OF-057,renewal,0,65
V2-OF-059,Cloudora,DevOps Toolkit,Full,CLD-DT-BASE,60,41.9,01-01-2023,01-07-2023,01-06-2023,FALSE,TRUE,average,superseded,V2-OF-058,renewal,0,65
V2-OF-060,Cloudora,DevOps Toolkit,Full,CLD-DT-BASE,55,42.09,01-07-2023,01-07-2024,01-06-2024,FALSE,TRUE,average,superseded,V2-OF-059,renewal,0,65
V2-OF-061,Cloudora,DevOps Toolkit,Full,CLD-DT-BASE,55,42.09,01-07-2024,01-07-2025,02-04-2025,FALSE,FALSE,average,superseded,V2-OF-060,renewal,0,65
V2-OF-062,Cloudora,DevOps Toolkit,Full,CLD-DT-BASE,60,42.09,01-07-2025,01-07-2026,02-04-2026,TRUE,FALSE,average,superseded,V2-OF-061,renewal,0,65
V2-OF-063,Cloudora,DevOps Toolkit,Full,CLD-DT-BASE,65,42.09,01-07-2026,01-07-2027,01-06-2027,TRUE,FALSE,average,active,V2-OF-062,renewal,0,65
V2-OF-056,Cloudora,DevOps Toolkit,Contributor,CLD-DT-BASE,165,14.4,01-01-2020,01-01-2021,02-11-2020,FALSE,FALSE,average,superseded,,new,165,245
V2-OF-057,Cloudora,DevOps Toolkit,Contributor,CLD-DT-BASE,170,15.77,01-01-2021,01-01-2022,02-11-2021,FALSE,FALSE,average,superseded,V2-OF-056,renewal,0,245
V2-OF-058,Cloudora,DevOps Toolkit,Contributor,CLD-DT-BASE,170,15.77,01-01-2022,01-01-2023,02-12-2022,FALSE,FALSE,average,superseded,V2-OF-057,renewal,0,245
V2-OF-059,Cloudora,DevOps Toolkit,Contributor,CLD-DT-BASE,175,15.83,01-01-2023,01-07-2023,01-06-2023,FALSE,TRUE,average,superseded,V2-OF-058,renewal,0,245
V2-OF-060,Cloudora,DevOps Toolkit,Contributor,CLD-DT-BASE,210,15.83,01-07-2023,01-07-2024,01-06-2024,FALSE,FALSE,average,superseded,V2-OF-059,upsell,35,245
V2-OF-061,Cloudora,DevOps Toolkit,Contributor,CLD-DT-BASE,225,15.83,01-07-2024,01-07-2025,02-04-2025,TRUE,FALSE,average,superseded,V2-OF-060,renewal,0,245
V2-OF-062,Cloudora,DevOps Toolkit,Contributor,CLD-DT-BASE,235,15.83,01-07-2025,01-07-2026,02-04-2026,TRUE,TRUE,average,superseded,V2-OF-061,renewal,0,245
V2-OF-063,Cloudora,DevOps Toolkit,Contributor,CLD-DT-BASE,245,15.83,01-07-2026,01-07-2027,01-06-2027,TRUE,FALSE,average,active,V2-OF-062,renewal,0,245
V2-OF-056,Cloudora,DevOps Toolkit,Collaborator,CLD-DT-BASE,220,3,01-01-2020,01-01-2021,02-11-2020,FALSE,FALSE,average,superseded,,new,220,230
V2-OF-057,Cloudora,DevOps Toolkit,Collaborator,CLD-DT-BASE,230,3.24,01-01-2021,01-01-2022,02-11-2021,FALSE,FALSE,average,superseded,V2-OF-056,renewal,0,230
V2-OF-058,Cloudora,DevOps Toolkit,Collaborator,CLD-DT-BASE,250,3.27,01-01-2022,01-01-2023,02-12-2022,TRUE,TRUE,average,superseded,V2-OF-057,renewal,0,230
V2-OF-059,Cloudora,DevOps Toolkit,Collaborator,CLD-DT-BASE,200,3.33,01-01-2023,01-07-2023,01-06-2023,FALSE,TRUE,average,superseded,V2-OF-058,renewal,0,230
V2-OF-060,Cloudora,DevOps Toolkit,Collaborator,CLD-DT-BASE,160,3.64,01-07-2023,01-07-2024,01-06-2024,FALSE,FALSE,average,superseded,V2-OF-059,renewal,0,230
V2-OF-061,Cloudora,DevOps Toolkit,Collaborator,CLD-DT-BASE,170,3.64,01-07-2024,01-07-2025,02-04-2025,FALSE,FALSE,average,superseded,V2-OF-060,renewal,0,230
V2-OF-062,Cloudora,DevOps Toolkit,Collaborator,CLD-DT-BASE,220,3.64,01-07-2025,01-07-2026,02-04-2026,TRUE,FALSE,average,superseded,V2-OF-061,upsell,50,230
V2-OF-063,Cloudora,DevOps Toolkit,Collaborator,CLD-DT-BASE,230,3.64,01-07-2026,01-07-2027,01-06-2027,TRUE,FALSE,average,active,V2-OF-062,renewal,0,230
V3-OF-001,Nexaflow,Flow Automation,Full,NXF-FA-BASE,65,42,01-01-2019,01-01-2020,03-10-2019,TRUE,FALSE,peak,superseded,,new,65,100
V3-OF-002,Nexaflow,Flow Automation,Full,NXF-FA-BASE,65,46.86,01-01-2020,01-01-2021,03-10-2020,TRUE,TRUE,peak,superseded,V3-OF-001,renewal,0,100
V3-OF-003,Nexaflow,Flow Automation,Full,NXF-FA-BASE,65,46.86,01-01-2021,01-01-2022,02-12-2021,FALSE,FALSE,peak,superseded,V3-OF-002,renewal,0,100
V3-OF-004,Nexaflow,Flow Automation,Full,NXF-FA-BASE,70,46.86,01-01-2022,01-01-2023,02-11-2022,FALSE,FALSE,peak,superseded,V3-OF-003,renewal,0,100
V3-OF-005,Nexaflow,Flow Automation,Full,NXF-FA-BASE,75,46.86,01-01-2023,01-01-2024,02-11-2023,FALSE,TRUE,peak,superseded,V3-OF-004,renewal,0,100
V3-OF-006,Nexaflow,Flow Automation,Full,NXF-FA-BASE,80,46.86,01-01-2024,01-07-2024,02-04-2024,TRUE,TRUE,peak,superseded,V3-OF-005,renewal,0,100
V3-OF-007,Nexaflow,Flow Automation,Full,NXF-FA-BASE,100,46.86,01-07-2024,01-07-2025,02-04-2025,FALSE,FALSE,peak,superseded,V3-OF-006,amendment,20,100
V3-OF-008,Nexaflow,Flow Automation,Full,NXF-FA-BASE,100,46.86,01-07-2025,01-07-2027,02-04-2027,FALSE,FALSE,peak,active,V3-OF-007,renewal,0,100
V3-OF-001,Nexaflow,Flow Automation,Contributor,NXF-FA-BASE,175,15.3,01-01-2019,01-01-2020,03-10-2019,TRUE,FALSE,peak,superseded,,new,175,255
V3-OF-002,Nexaflow,Flow Automation,Contributor,NXF-FA-BASE,185,16.96,01-01-2020,01-01-2021,03-10-2020,TRUE,FALSE,peak,superseded,V3-OF-001,renewal,0,255
V3-OF-003,Nexaflow,Flow Automation,Contributor,NXF-FA-BASE,235,16.96,01-01-2021,01-01-2022,02-12-2021,FALSE,FALSE,peak,superseded,V3-OF-002,upsell,50,255
V3-OF-004,Nexaflow,Flow Automation,Contributor,NXF-FA-BASE,255,16.96,01-01-2022,01-01-2023,02-11-2022,FALSE,TRUE,peak,superseded,V3-OF-003,renewal,0,255
V3-OF-005,Nexaflow,Flow Automation,Contributor,NXF-FA-BASE,265,16.96,01-01-2023,01-01-2024,02-11-2023,FALSE,TRUE,peak,superseded,V3-OF-004,renewal,0,255
V3-OF-006,Nexaflow,Flow Automation,Contributor,NXF-FA-BASE,275,16.96,01-01-2024,01-07-2024,02-04-2024,FALSE,FALSE,peak,superseded,V3-OF-005,renewal,0,255
V3-OF-007,Nexaflow,Flow Automation,Contributor,NXF-FA-BASE,295,16.96,01-07-2024,01-07-2025,02-04-2025,FALSE,TRUE,peak,superseded,V3-OF-006,renewal,0,255
V3-OF-008,Nexaflow,Flow Automation,Contributor,NXF-FA-BASE,255,16.96,01-07-2025,01-07-2027,02-04-2027,TRUE,FALSE,peak,active,V3-OF-007,renewal,0,255
V3-OF-001,Nexaflow,Flow Automation,Collaborator,NXF-FA-BASE,210,3.69,01-01-2019,01-01-2020,03-10-2019,TRUE,FALSE,peak,superseded,,new,210,350
V3-OF-002,Nexaflow,Flow Automation,Collaborator,NXF-FA-BASE,230,3.82,01-01-2020,01-01-2021,03-10-2020,TRUE,FALSE,peak,superseded,V3-OF-001,renewal,0,350
V3-OF-003,Nexaflow,Flow Automation,Collaborator,NXF-FA-BASE,250,3.82,01-01-2021,01-01-2022,02-12-2021,TRUE,FALSE,peak,superseded,V3-OF-002,renewal,0,350
V3-OF-004,Nexaflow,Flow Automation,Collaborator,NXF-FA-BASE,260,3.82,01-01-2022,01-01-2023,02-11-2022,FALSE,TRUE,peak,superseded,V3-OF-003,renewal,0,350
V3-OF-005,Nexaflow,Flow Automation,Collaborator,NXF-FA-BASE,290,3.82,01-01-2023,01-01-2024,02-11-2023,FALSE,FALSE,peak,superseded,V3-OF-004,renewal,0,350
V3-OF-006,Nexaflow,Flow Automation,Collaborator,NXF-FA-BASE,320,3.82,01-01-2024,01-07-2024,02-04-2024,TRUE,TRUE,peak,superseded,V3-OF-005,renewal,0,350
V3-OF-007,Nexaflow,Flow Automation,Collaborator,NXF-FA-BASE,320,3.82,01-07-2024,01-07-2025,02-04-2025,TRUE,FALSE,peak,superseded,V3-OF-006,renewal,0,350
V3-OF-008,Nexaflow,Flow Automation,Collaborator,NXF-FA-BASE,350,3.82,01-07-2025,01-07-2027,02-04-2027,TRUE,FALSE,peak,active,V3-OF-007,renewal,0,350
V3-OF-010,Nexaflow,Flow Lite,Full,NXF-FL-BASE,80,28,01-01-2019,01-01-2020,02-12-2019,FALSE,FALSE,average,superseded,,new,80,135
V3-OF-011,Nexaflow,Flow Lite,Full,NXF-FL-BASE,85,29.51,01-01-2020,01-07-2020,02-05-2020,TRUE,TRUE,average,superseded,V3-OF-010,renewal,0,135
V3-OF-012,Nexaflow,Flow Lite,Full,NXF-FL-BASE,85,29.58,01-07-2020,01-10-2020,03-07-2020,TRUE,TRUE,average,superseded,V3-OF-011,renewal,0,135
V3-OF-013,Nexaflow,Flow Lite,Full,NXF-FL-BASE,90,29.58,01-10-2020,01-10-2021,03-07-2021,TRUE,FALSE,average,superseded,V3-OF-012,renewal,0,135
V3-OF-014,Nexaflow,Flow Lite,Full,NXF-FL-BASE,95,29.94,01-10-2021,01-10-2022,01-09-2022,FALSE,FALSE,average,superseded,V3-OF-013,renewal,0,135
V3-OF-015,Nexaflow,Flow Lite,Full,NXF-FL-BASE,100,29.94,01-10-2022,01-04-2023,02-03-2023,FALSE,TRUE,average,superseded,V3-OF-014,renewal,0,135
V3-OF-016,Nexaflow,Flow Lite,Full,NXF-FL-BASE,90,30.55,01-04-2023,01-04-2024,02-03-2024,TRUE,FALSE,average,superseded,V3-OF-015,renewal,0,135
V3-OF-017,Nexaflow,Flow Lite,Full,NXF-FL-BASE,95,31.23,01-04-2024,01-10-2024,02-08-2024,TRUE,FALSE,average,superseded,V3-OF-016,renewal,0,135
V3-OF-018,Nexaflow,Flow Lite,Full,NXF-FL-BASE,100,31.23,01-10-2024,01-10-2025,02-08-2025,TRUE,FALSE,average,superseded,V3-OF-017,renewal,0,135
V3-OF-019,Nexaflow,Flow Lite,Full,NXF-FL-BASE,110,31.23,01-10-2025,01-10-2026,02-08-2026,FALSE,TRUE,average,superseded,V3-OF-018,renewal,0,135
V3-OF-020,Nexaflow,Flow Lite,Full,NXF-FL-BASE,135,31.23,01-10-2026,01-04-2027,31-01-2027,FALSE,FALSE,average,active,V3-OF-019,amendment,25,135
V3-OF-010,Nexaflow,Flow Lite,Contributor,NXF-FL-BASE,240,12,01-01-2019,01-01-2020,02-12-2019,FALSE,FALSE,average,superseded,,new,240,365
V3-OF-011,Nexaflow,Flow Lite,Contributor,NXF-FL-BASE,260,13.4,01-01-2020,01-07-2020,02-05-2020,FALSE,FALSE,average,superseded,V3-OF-010,renewal,0,365
V3-OF-012,Nexaflow,Flow Lite,Contributor,NXF-FL-BASE,275,13.4,01-07-2020,01-10-2020,03-07-2020,TRUE,TRUE,average,superseded,V3-OF-011,renewal,0,365
V3-OF-013,Nexaflow,Flow Lite,Contributor,NXF-FL-BASE,280,13.4,01-10-2020,01-10-2021,03-07-2021,FALSE,TRUE,average,superseded,V3-OF-012,renewal,0,365
V3-OF-014,Nexaflow,Flow Lite,Contributor,NXF-FL-BASE,330,13.4,01-10-2021,01-10-2022,01-09-2022,TRUE,FALSE,average,superseded,V3-OF-013,upsell,50,365
V3-OF-015,Nexaflow,Flow Lite,Contributor,NXF-FL-BASE,345,13.4,01-10-2022,01-04-2023,02-03-2023,FALSE,FALSE,average,superseded,V3-OF-014,renewal,0,365
V3-OF-016,Nexaflow,Flow Lite,Contributor,NXF-FL-BASE,370,13.4,01-04-2023,01-04-2024,02-03-2024,TRUE,TRUE,average,superseded,V3-OF-015,renewal,0,365
V3-OF-017,Nexaflow,Flow Lite,Contributor,NXF-FL-BASE,310,13.4,01-04-2024,01-10-2024,02-08-2024,FALSE,FALSE,average,superseded,V3-OF-016,renewal,0,365
V3-OF-018,Nexaflow,Flow Lite,Contributor,NXF-FL-BASE,325,13.4,01-10-2024,01-10-2025,02-08-2025,TRUE,FALSE,average,superseded,V3-OF-017,renewal,0,365
V3-OF-019,Nexaflow,Flow Lite,Contributor,NXF-FL-BASE,355,13.4,01-10-2025,01-10-2026,02-08-2026,TRUE,FALSE,average,superseded,V3-OF-018,renewal,0,365
V3-OF-020,Nexaflow,Flow Lite,Contributor,NXF-FL-BASE,365,13.4,01-10-2026,01-04-2027,31-01-2027,TRUE,TRUE,average,active,V3-OF-019,renewal,0,365
V3-OF-010,Nexaflow,Flow Lite,Collaborator,NXF-FL-BASE,290,3,01-01-2019,01-01-2020,02-12-2019,FALSE,FALSE,average,superseded,,new,290,470
V3-OF-011,Nexaflow,Flow Lite,Collaborator,NXF-FL-BASE,310,3,01-01-2020,01-07-2020,02-05-2020,FALSE,TRUE,average,superseded,V3-OF-010,renewal,0,470
V3-OF-012,Nexaflow,Flow Lite,Collaborator,NXF-FL-BASE,260,3.25,01-07-2020,01-10-2020,03-07-2020,FALSE,FALSE,average,superseded,V3-OF-011,renewal,0,470
V3-OF-013,Nexaflow,Flow Lite,Collaborator,NXF-FL-BASE,280,3.25,01-10-2020,01-10-2021,03-07-2021,TRUE,FALSE,average,superseded,V3-OF-012,renewal,0,470
V3-OF-014,Nexaflow,Flow Lite,Collaborator,NXF-FL-BASE,360,3.25,01-10-2021,01-10-2022,01-09-2022,FALSE,FALSE,average,superseded,V3-OF-013,amendment,80,470
V3-OF-015,Nexaflow,Flow Lite,Collaborator,NXF-FL-BASE,370,3.25,01-10-2022,01-04-2023,02-03-2023,TRUE,TRUE,average,superseded,V3-OF-014,renewal,0,470
V3-OF-016,Nexaflow,Flow Lite,Collaborator,NXF-FL-BASE,310,3.25,01-04-2023,01-04-2024,02-03-2024,FALSE,FALSE,average,superseded,V3-OF-015,renewal,0,470
V3-OF-017,Nexaflow,Flow Lite,Collaborator,NXF-FL-BASE,400,3.25,01-04-2024,01-10-2024,02-08-2024,TRUE,FALSE,average,superseded,V3-OF-016,upsell,90,470
V3-OF-018,Nexaflow,Flow Lite,Collaborator,NXF-FL-BASE,420,3.25,01-10-2024,01-10-2025,02-08-2025,TRUE,FALSE,average,superseded,V3-OF-017,renewal,0,470
V3-OF-019,Nexaflow,Flow Lite,Collaborator,NXF-FL-BASE,440,3.25,01-10-2025,01-10-2026,02-08-2026,FALSE,TRUE,average,superseded,V3-OF-018,renewal,0,470
V3-OF-020,Nexaflow,Flow Lite,Collaborator,NXF-FL-BASE,470,3.25,01-10-2026,01-04-2027,31-01-2027,TRUE,FALSE,average,active,V3-OF-019,renewal,0,470
V3-OF-022,Nexaflow,Analytics Engine,Full,NXF-AE-BASE,40,32,01-01-2019,01-01-2020,02-11-2019,TRUE,FALSE,peak,superseded,,new,40,220
V3-OF-023,Nexaflow,Analytics Engine,Full,NXF-AE-BASE,40,33.77,01-01-2020,01-01-2021,02-11-2020,FALSE,FALSE,peak,superseded,V3-OF-022,renewal,0,220
V3-OF-024,Nexaflow,Analytics Engine,Full,NXF-AE-BASE,45,34.09,01-01-2021,01-01-2022,03-10-2021,TRUE,FALSE,peak,superseded,V3-OF-023,renewal,0,220
V3-OF-025,Nexaflow,Analytics Engine,Full,NXF-AE-BASE,55,34.09,01-01-2022,01-01-2023,02-11-2022,TRUE,FALSE,peak,superseded,V3-OF-024,amendment,10,220
V3-OF-026,Nexaflow,Analytics Engine,Full,NXF-AE-BASE,55,34.09,01-01-2023,01-01-2024,02-12-2023,TRUE,FALSE,peak,superseded,V3-OF-025,renewal,0,220
V3-OF-027,Nexaflow,Analytics Engine,Full,NXF-AE-BASE,60,34.44,01-01-2024,01-01-2025,02-11-2024,FALSE,TRUE,peak,superseded,V3-OF-026,renewal,0,220
V3-OF-028,Nexaflow,Analytics Engine,Full,NXF-AE-BASE,65,34.44,01-01-2025,01-07-2025,02-05-2025,FALSE,TRUE,peak,superseded,V3-OF-027,renewal,0,220
V3-OF-029,Nexaflow,Analytics Engine,Full,NXF-AE-BASE,65,35.31,01-07-2025,01-07-2026,02-05-2026,FALSE,FALSE,peak,superseded,V3-OF-028,renewal,0,220
V3-OF-030,Nexaflow,Analytics Engine,Full,NXF-AE-BASE,80,35.31,01-07-2026,01-07-2027,02-04-2027,FALSE,FALSE,peak,active,V3-OF-029,amendment,15,220
V3-OF-022,Nexaflow,Analytics Engine,Contributor,NXF-AE-BASE,150,11.2,01-01-2019,01-01-2020,02-11-2019,TRUE,FALSE,peak,superseded,,new,150,595
V3-OF-023,Nexaflow,Analytics Engine,Contributor,NXF-AE-BASE,160,12.32,01-01-2020,01-01-2021,02-11-2020,FALSE,TRUE,peak,superseded,V3-OF-022,renewal,0,595
V3-OF-024,Nexaflow,Analytics Engine,Contributor,NXF-AE-BASE,170,12.32,01-01-2021,01-01-2022,03-10-2021,TRUE,TRUE,peak,superseded,V3-OF-023,renewal,0,595
V3-OF-025,Nexaflow,Analytics Engine,Contributor,NXF-AE-BASE,145,13.67,01-01-2022,01-01-2023,02-11-2022,FALSE,FALSE,peak,superseded,V3-OF-024,renewal,0,595
V3-OF-026,Nexaflow,Analytics Engine,Contributor,NXF-AE-BASE,155,13.67,01-01-2023,01-01-2024,02-12-2023,TRUE,FALSE,peak,superseded,V3-OF-025,renewal,0,595
V3-OF-027,Nexaflow,Analytics Engine,Contributor,NXF-AE-BASE,170,13.67,01-01-2024,01-01-2025,02-11-2024,FALSE,TRUE,peak,superseded,V3-OF-026,renewal,0,595
V3-OF-028,Nexaflow,Analytics Engine,Contributor,NXF-AE-BASE,180,13.67,01-01-2025,01-07-2025,02-05-2025,TRUE,FALSE,peak,superseded,V3-OF-027,renewal,0,595
V3-OF-029,Nexaflow,Analytics Engine,Contributor,NXF-AE-BASE,220,13.67,01-07-2025,01-07-2026,02-05-2026,TRUE,FALSE,peak,superseded,V3-OF-028,amendment,40,595
V3-OF-030,Nexaflow,Analytics Engine,Contributor,NXF-AE-BASE,240,13.67,01-07-2026,01-07-2027,02-04-2027,FALSE,FALSE,peak,active,V3-OF-029,renewal,0,595
V3-OF-022,Nexaflow,Analytics Engine,Collaborator,NXF-AE-BASE,250,2.73,01-01-2019,01-01-2020,02-11-2019,FALSE,FALSE,peak,superseded,,new,250,1440
V3-OF-023,Nexaflow,Analytics Engine,Collaborator,NXF-AE-BASE,270,2.88,01-01-2020,01-01-2021,02-11-2020,FALSE,TRUE,peak,superseded,V3-OF-022,renewal,0,1440
V3-OF-024,Nexaflow,Analytics Engine,Collaborator,NXF-AE-BASE,280,2.93,01-01-2021,01-01-2022,03-10-2021,TRUE,TRUE,peak,superseded,V3-OF-023,renewal,0,1440
V3-OF-025,Nexaflow,Analytics Engine,Collaborator,NXF-AE-BASE,370,2.93,01-01-2022,01-01-2023,02-11-2022,TRUE,FALSE,peak,superseded,V3-OF-024,amendment,90,1440
V3-OF-026,Nexaflow,Analytics Engine,Collaborator,NXF-AE-BASE,400,2.93,01-01-2023,01-01-2024,02-12-2023,FALSE,FALSE,peak,superseded,V3-OF-025,renewal,0,1440
V3-OF-027,Nexaflow,Analytics Engine,Collaborator,NXF-AE-BASE,400,2.93,01-01-2024,01-01-2025,02-11-2024,TRUE,FALSE,peak,superseded,V3-OF-026,renewal,0,1440
